id,label
30000,0.39607843137254906
30001,0.36
30002,0.21
30003,0.18
30004,0.39607843137254906
30005,0.24
30006,0.21
30007,0.11
30008,0.41
30009,0.2
30010,0.24
30011,0.2
30012,0.23
30013,0.09
30014,0.39607843137254906
30015,0.29
30016,0.26
30017,0.2
30018,0.25
30019,0.22
30020,0.13
30021,0.39607843137254906
30022,0.27
30023,0.16
30024,0.18
30025,0.14
30026,0.5
30027,0.57
30028,0.32
30029,0.31
30030,0.18
30031,0.15
30032,0.21
30033,0.16
30034,0.21
30035,0.11
30036,0.39
30037,0.22
30038,0.24
30039,0.14
30040,0.19037037037037038
30041,0.17
30042,0.17
30043,0.27
30044,0.21
30045,0.27
30046,0.18
30047,0.18
30048,0.25
30049,0.12
30050,0.41
30051,0.5
30052,0.13
30053,0.25625
30054,0.17
30055,0.09
30056,0.27
30057,0.22
30058,0.2
30059,0.5
30060,0.11
30061,0.27
30062,0.22
30063,0.21
30064,0.15
30065,0.14
30066,0.1
30067,0.5
30068,0.23149999999999998
30069,0.09
30070,0.49
30071,0.16
30072,0.5
30073,0.18
30074,0.5
30075,0.3
30076,0.27
30077,0.16
30078,0.1
30079,0.5
30080,0.25
30081,0.14
30082,0.22
30083,0.15
30084,0.46
30085,0.27
30086,0.22
30087,0.24
30088,0.17
30089,0.39607843137254906
30090,0.4
30091,0.36
30092,0.22
30093,0.27
30094,0.24
30095,0.36
30096,0.5
30097,0.13
30098,0.15
30099,0.32
30100,0.4
30101,0.5
30102,0.5
30103,0.21
30104,0.35
30105,0.15
30106,0.28
30107,0.21
30108,0.18
30109,0.5
30110,0.4
30111,0.29
30112,0.5
30113,0.32
30114,0.12
30115,0.21
30116,0.39607843137254906
30117,0.25
30118,0.26
30119,0.14
30120,0.18
30121,0.33
30122,0.29
30123,0.19
30124,0.19
30125,0.21
30126,0.39607843137254906
30127,0.27
30128,0.23
30129,0.2405263157894737
30130,0.21
30131,0.45583333333333337
30132,0.18
30133,0.39607843137254906
30134,0.16
30135,0.07
30136,0.25
30137,0.17
30138,0.18
30139,0.36
30140,0.26
30141,0.5
30142,0.31
30143,0.15
30144,0.14
30145,0.39607843137254906
30146,0.17
30147,0.23
30148,0.27
30149,0.23
30150,0.36
30151,0.14
30152,0.19
30153,0.26
30154,0.24
30155,0.22
30156,0.33
30157,0.18
30158,0.3
30159,0.12
30160,0.29
30161,0.37655172413793103
30162,0.5
30163,0.15
30164,0.5
30165,0.27
30166,0.13
30167,0.19
30168,0.23
30169,0.15
30170,0.22
30171,0.49
30172,0.28
30173,0.18
30174,0.23
30175,0.2
30176,0.17
30177,0.26
30178,0.07
30179,0.5
30180,0.49
30181,0.39607843137254906
30182,0.14
30183,0.4
30184,0.11
30185,0.22
30186,0.25
30187,0.14
30188,0.33
30189,0.17
30190,0.22
30191,0.14
30192,0.11
30193,0.25
30194,0.5
30195,0.33
30196,0.33
30197,0.46
30198,0.14
30199,0.15
30200,0.5
30201,0.21
30202,0.5
30203,0.18
30204,0.2
30205,0.12
30206,0.406078431372549
30207,0.24
30208,0.23
30209,0.29
30210,0.15
30211,0.5
30212,0.2
30213,0.5
30214,0.1
30215,0.2
30216,0.27
30217,0.5
30218,0.31
30219,0.1
30220,0.19
30221,0.13
30222,0.23
30223,0.27
30224,0.2
30225,0.23
30226,0.5
30227,0.13
30228,0.15
30229,0.14
30230,0.23
30231,0.28
30232,0.5
30233,0.2
30234,0.25
30235,0.09
30236,0.5
30237,0.406078431372549
30238,0.25
30239,0.21
30240,0.19
30241,0.24
30242,0.24
30243,0.21
30244,0.4
30245,0.5
30246,0.11
30247,0.28
30248,0.22
30249,0.31
30250,0.05
30251,0.5
30252,0.16
30253,0.29
30254,0.39607843137254906
30255,0.32
30256,0.27
30257,0.23
30258,0.39
30259,0.13
30260,0.4
30261,0.25
30262,0.2
30263,0.29
30264,0.37
30265,0.24
30266,0.21
30267,0.4
30268,0.13
30269,0.45
30270,0.22
30271,0.22
30272,0.14
30273,0.14
30274,0.21
30275,0.56
30276,0.5
30277,0.24
30278,0.1
30279,0.4
30280,0.26
30281,0.26
30282,0.23
30283,0.11
30284,0.27
30285,0.34
30286,0.15
30287,0.14
30288,0.2811764705882353
30289,0.15
30290,0.18
30291,0.21
30292,0.18
30293,0.406078431372549
30294,0.32
30295,0.14
30296,0.37583333333333335
30297,0.17
30298,0.13
30299,0.25
30300,0.13
30301,0.3005263157894737
30302,0.39607843137254906
30303,0.32
30304,0.15
30305,0.39607843137254906
30306,0.25
30307,0.15
30308,0.4
30309,0.16
30310,0.36
30311,0.21
30312,0.12
30313,0.17
30314,0.23
30315,0.43
30316,0.15
30317,0.5
30318,0.31
30319,0.25
30320,0.23
30321,0.19
30322,0.35
30323,0.5
30324,0.15
30325,0.28
30326,0.36
30327,0.24
30328,0.14
30329,0.36
30330,0.24
30331,0.34
30332,0.24
30333,0.09
30334,0.5
30335,0.13
30336,0.22
30337,0.28
30338,0.33
30339,0.24
30340,0.2
30341,0.4
30342,0.4
30343,0.24
30344,0.08
30345,0.09
30346,0.31
30347,0.28
30348,0.24
30349,0.19
30350,0.24
30351,0.32
30352,0.14
30353,0.19
30354,0.14
30355,0.1
30356,0.5
30357,0.16
30358,0.39
30359,0.2656140350877193
30360,0.2580487804878049
30361,0.12
30362,0.15
30363,0.14
30364,0.2
30365,0.26
30366,0.32
30367,0.19
30368,0.17
30369,0.31
30370,0.2
30371,0.3
30372,0.4
30373,0.33
30374,0.5
30375,0.5
30376,0.29
30377,0.19
30378,0.2
30379,0.25
30380,0.18
30381,0.33
30382,0.33
30383,0.19
30384,0.2
30385,0.22
30386,0.09
30387,0.5
30388,0.28
30389,0.11
30390,0.27
30391,0.2
30392,0.15
30393,0.2
30394,0.18
30395,0.2
30396,0.5
30397,0.25
30398,0.18
30399,0.15
30400,0.4
30401,0.3
30402,0.13
30403,0.19
30404,0.25
30405,0.17
30406,0.23
30407,0.15
30408,0.24
30409,0.14
30410,0.5
30411,0.16
30412,0.12
30413,0.19
30414,0.11
30415,0.15
30416,0.36
30417,0.18
30418,0.4
30419,0.27
30420,0.19
30421,0.56
30422,0.2
30423,0.27
30424,0.18
30425,0.33
30426,0.21
30427,0.31
30428,0.21
30429,0.16
30430,0.2
30431,0.31
30432,0.5
30433,0.28
30434,0.31
30435,0.33
30436,0.4
30437,0.13
30438,0.14
30439,0.23
30440,0.09
30441,0.23
30442,0.11
30443,0.44
30444,0.31
30445,0.5
30446,0.29
30447,0.12
30448,0.31
30449,0.17
30450,0.24
30451,0.36
30452,0.26
30453,0.19
30454,0.33
30455,0.26
30456,0.23
30457,0.34
30458,0.14
30459,0.39607843137254906
30460,0.39607843137254906
30461,0.24
30462,0.5
30463,0.14
30464,0.33
30465,0.29
30466,0.22
30467,0.33
30468,0.5
30469,0.29
30470,0.16
30471,0.24
30472,0.17
30473,0.12
30474,0.19
30475,0.26
30476,0.28
30477,0.36
30478,0.3
30479,0.36
30480,0.29
30481,0.5
30482,0.35
30483,0.21
30484,0.33
30485,0.16
30486,0.14
30487,0.5
30488,0.17
30489,0.14
30490,0.15
30491,0.15
30492,0.09
30493,0.19
30494,0.22
30495,0.2
30496,0.31
30497,0.15
30498,0.33
30499,0.23
30500,0.23
30501,0.21
30502,0.406078431372549
30503,0.21
30504,0.22
30505,0.37
30506,0.38
30507,0.18
30508,0.27
30509,0.5
30510,0.5
30511,0.26
30512,0.15
30513,0.16
30514,0.29
30515,0.5
30516,0.07
30517,0.2
30518,0.22
30519,0.24
30520,0.4
30521,0.15
30522,0.2
30523,0.3
30524,0.4
30525,0.21
30526,0.19
30527,0.11
30528,0.24
30529,0.18
30530,0.1
30531,0.406078431372549
30532,0.24
30533,0.17
30534,0.1
30535,0.2
30536,0.23
30537,0.39607843137254906
30538,0.13
30539,0.08
30540,0.16
30541,0.13
30542,0.5
30543,0.14
30544,0.33
30545,0.56
30546,0.18
30547,0.17
30548,0.2
30549,0.21
30550,0.14
30551,0.5
30552,0.3
30553,0.18
30554,0.14
30555,0.16
30556,0.15
30557,0.09
30558,0.45
30559,0.36
30560,0.3
30561,0.21
30562,0.5
30563,0.14
30564,0.16
30565,0.14
30566,0.23
30567,0.31
30568,0.33
30569,0.13
30570,0.416078431372549
30571,0.28
30572,0.15
30573,0.19
30574,0.21
30575,0.23
30576,0.31
30577,0.22
30578,0.14
30579,0.17
30580,0.1
30581,0.22
30582,0.18
30583,0.15
30584,0.32
30585,0.13
30586,0.18
30587,0.5
30588,0.33
30589,0.26
30590,0.21
30591,0.22
30592,0.1
30593,0.25
30594,0.16
30595,0.14
30596,0.29
30597,0.1
30598,0.14
30599,0.416078431372549
30600,0.17
30601,0.25
30602,0.15
30603,0.32
30604,0.406078431372549
30605,0.2
30606,0.15
30607,0.25
30608,0.406078431372549
30609,0.27
30610,0.5
30611,0.29
30612,0.31
30613,0.25
30614,0.22
30615,0.18
30616,0.26
30617,0.24
30618,0.21
30619,0.14
30620,0.14
30621,0.24
30622,0.19
30623,0.19
30624,0.2
30625,0.33
30626,0.17
30627,0.22
30628,0.09
30629,0.2
30630,0.31
30631,0.4
30632,0.24
30633,0.21
30634,0.5
30635,0.5
30636,0.39607843137254906
30637,0.5
30638,0.19
30639,0.22
30640,0.24
30641,0.11
30642,0.31
30643,0.29
30644,0.14
30645,0.22
30646,0.26
30647,0.16
30648,0.416078431372549
30649,0.11
30650,0.25
30651,0.21
30652,0.27
30653,0.16684210526315787
30654,0.5
30655,0.13
30656,0.5
30657,0.16
30658,0.24
30659,0.28
30660,0.16
30661,0.23
30662,0.20058823529411765
30663,0.12
30664,0.18
30665,0.18
30666,0.42
30667,0.2
30668,0.24
30669,0.45617021276595743
30670,0.18
30671,0.28
30672,0.16
30673,0.24
30674,0.13
30675,0.22
30676,0.11
30677,0.12
30678,0.25
30679,0.19
30680,0.35
30681,0.49
30682,0.11
30683,0.37
30684,0.15
30685,0.23
30686,0.13
30687,0.32
30688,0.1
30689,0.14
30690,0.15
30691,0.5
30692,0.17684210526315788
30693,0.17
30694,0.26
30695,0.22
30696,0.24
30697,0.13
30698,0.12
30699,0.26
30700,0.13
30701,0.5
30702,0.27
30703,0.24
30704,0.21
30705,0.21
30706,0.15
