id,label
30000,0.6039215686274509
30001,0.64
30002,0.79
30003,0.82
30004,0.6039215686274509
30005,0.76
30006,0.79
30007,0.89
30008,0.59
30009,0.8
30010,0.76
30011,0.8
30012,0.77
30013,0.91
30014,0.6039215686274509
30015,0.71
30016,0.74
30017,0.8
30018,0.75
30019,0.78
30020,0.87
30021,0.6039215686274509
30022,0.73
30023,0.84
30024,0.82
30025,0.86
30026,0.5
30027,0.43
30028,0.68
30029,0.69
30030,0.82
30031,0.85
30032,0.79
30033,0.84
30034,0.79
30035,0.89
30036,0.61
30037,0.78
30038,0.76
30039,0.86
30040,0.8096296296296296
30041,0.83
30042,0.83
30043,0.73
30044,0.79
30045,0.73
30046,0.82
30047,0.82
30048,0.75
30049,0.88
30050,0.59
30051,0.5
30052,0.87
30053,0.74375
30054,0.83
30055,0.91
30056,0.73
30057,0.78
30058,0.8
30059,0.5
30060,0.89
30061,0.73
30062,0.78
30063,0.79
30064,0.85
30065,0.86
30066,0.9
30067,0.5
30068,0.7685
30069,0.91
30070,0.51
30071,0.84
30072,0.5
30073,0.82
30074,0.5
30075,0.7
30076,0.73
30077,0.84
30078,0.9
30079,0.5
30080,0.75
30081,0.86
30082,0.78
30083,0.85
30084,0.54
30085,0.73
30086,0.78
30087,0.76
30088,0.83
30089,0.6039215686274509
30090,0.6
30091,0.64
30092,0.78
30093,0.73
30094,0.76
30095,0.64
30096,0.5
30097,0.87
30098,0.85
30099,0.68
30100,0.6
30101,0.5
30102,0.5
30103,0.79
30104,0.65
30105,0.85
30106,0.72
30107,0.79
30108,0.82
30109,0.5
30110,0.6
30111,0.71
30112,0.5
30113,0.68
30114,0.88
30115,0.79
30116,0.6039215686274509
30117,0.75
30118,0.74
30119,0.86
30120,0.82
30121,0.67
30122,0.71
30123,0.81
30124,0.81
30125,0.79
30126,0.6039215686274509
30127,0.73
30128,0.77
30129,0.7594736842105263
30130,0.79
30131,0.5441666666666667
30132,0.82
30133,0.6039215686274509
30134,0.84
30135,0.93
30136,0.75
30137,0.83
30138,0.82
30139,0.64
30140,0.74
30141,0.5
30142,0.69
30143,0.85
30144,0.86
30145,0.6039215686274509
30146,0.83
30147,0.77
30148,0.73
30149,0.77
30150,0.64
30151,0.86
30152,0.81
30153,0.74
30154,0.76
30155,0.78
30156,0.67
30157,0.82
30158,0.7
30159,0.88
30160,0.71
30161,0.623448275862069
30162,0.5
30163,0.85
30164,0.5
30165,0.73
30166,0.87
30167,0.81
30168,0.77
30169,0.85
30170,0.78
30171,0.51
30172,0.72
30173,0.82
30174,0.77
30175,0.8
30176,0.83
30177,0.74
30178,0.93
30179,0.5
30180,0.51
30181,0.6039215686274509
30182,0.86
30183,0.6
30184,0.89
30185,0.78
30186,0.75
30187,0.86
30188,0.67
30189,0.83
30190,0.78
